asset,entry_ts,entry_price,direction,take_profit,stop_loss,position_usd,leverage,confidence,rr_ratio,power_setup,max_hold_bar,exit_ts,exit_price,outcome,pnl_usd,fold
OP,2025-11-21 12:00:00+00:00,0.3129,-1.0,0.264825443872938,0.3266277049397099,5484.803638194147,3.0,0.9845097661018372,3.502,True,2025-11-26 16:00:00+00:00,2025-11-26 16:00:00+00:00,0.3239,time,-198.3030843033769,7
ICP,2025-11-25 17:00:00+00:00,4.414,-1.0,4.074975462097123,4.510808565665203,2062.6589082225673,2.0,0.8724863529205322,3.502,False,2025-11-30 21:00:00+00:00,2025-11-27 10:00:00+00:00,4.074975462097123,tp,156.3632548234061,7
ATOM,2025-11-28 17:00:00+00:00,2.448,-1.0,2.373030313531495,2.469407618045232,5118.994504229144,3.0,0.954387903213501,3.502,True,2025-12-03 21:00:00+00:00,2025-11-30 23:00:00+00:00,2.373030313531495,tp,151.64955656442245,7
FIL,2025-12-01 00:00:00+00:00,1.46,-1.0,1.3936430190265714,1.4789482572254138,5261.16596350829,3.0,0.9922289252281189,3.502,True,2025-12-06 04:00:00+00:00,2025-12-01 20:00:00+00:00,1.4789482572254138,sl,-75.12028697320956,7
AVAX,2025-12-01 00:00:00+00:00,12.96,-1.0,12.157452442504258,13.189167712755744,5261.16596350829,3.0,0.9876948595046997,3.502,True,2025-12-06 04:00:00+00:00,2025-12-02 12:00:00+00:00,13.189167712755744,sl,-99.87110296595262,7
TAO,2025-12-01 00:00:00+00:00,269.0,-1.0,244.35844013645223,276.03640533189576,3945.874472631217,3.0,0.9824228286743164,3.502,True,2025-12-06 04:00:00+00:00,2025-12-02 12:00:00+00:00,276.03640533189576,sl,-108.34440327618148,7
ASTR,2025-12-01 00:00:00+00:00,0.999,-1.0,0.8801247826362912,1.0329448564912334,3945.874472631217,3.0,0.9900867342948914,3.502,True,2025-12-06 04:00:00+00:00,2025-12-03 00:00:00+00:00,1.0329448564912334,sl,-139.20585573923316,7
LINK,2025-12-03 00:00:00+00:00,13.95,-1.0,12.828390852573023,14.270275852217171,3892.026534090699,3.0,0.9445756077766418,3.502,False,2025-12-08 04:00:00+00:00,2025-12-03 04:00:00+00:00,14.270275852217171,sl,-94.41605851279425,7
DOT,2025-12-03 04:00:00+00:00,2.319,-1.0,2.2342431481961813,2.3432023462495697,4776.51811275763,3.0,0.9509416222572327,3.502,True,2025-12-08 08:00:00+00:00,2025-12-03 21:00:00+00:00,2.3432023462495697,sl,-56.059816466939196,7
DOT,2025-12-03 21:00:00+00:00,2.36,-1.0,2.284443083611376,2.3815753017374917,4723.962034819875,3.0,0.9830793142318726,3.502,True,2025-12-09 01:00:00+00:00,2025-12-03 22:00:00+00:00,2.3815753017374917,sl,-49.32797534767875,7
DOT,2025-12-03 22:00:00+00:00,2.385,-1.0,2.3047452442504257,2.4079167712755742,3742.1736463451402,3.0,0.9254224300384521,3.502,False,2025-12-09 02:00:00+00:00,2025-12-04 14:00:00+00:00,2.3047452442504257,tp,122.18119405173549,7
HBAR,2025-12-04 14:00:00+00:00,0.13902,-1.0,0.13589789425803486,0.13991151829718393,4792.261927354927,3.0,0.971912145614624,3.502,True,2025-12-09 18:00:00+00:00,2025-12-04 15:00:00+00:00,0.13991151829718393,sl,-36.96213150782594,7
TRX,2025-12-04 20:00:00+00:00,0.2862,-1.0,0.2816979039457556,0.28748557497399563,2537.391962168715,2.0,0.9131933450698853,3.502,False,2025-12-10 00:00:00+00:00,2025-12-05 00:00:00+00:00,0.28748557497399563,sl,-14.696260165011282,7
APT,2025-12-05 04:00:00+00:00,1.904,-1.0,1.8325536930522082,1.9244015158916696,4743.832185161642,3.0,0.9854711294174194,3.502,True,2025-12-10 08:00:00+00:00,2025-12-05 13:00:00+00:00,1.8325536930522082,tp,173.2652489124604,7
APT,2025-12-05 16:00:00+00:00,1.755,-1.0,1.6727878111833627,1.7784757169164418,4906.268356017074,3.0,0.9952210783958435,3.502,True,2025-12-10 20:00:00+00:00,2025-12-06 17:00:00+00:00,1.7784757169164418,sl,-72.0067340719126,7
ADA,2025-12-03 04:00:00+00:00,0.4429,-1.0,0.4078815224302468,0.4528995375151226,4776.51811275763,3.0,0.9866483807563782,3.502,True,2025-12-08 08:00:00+00:00,2025-12-07 12:00:00+00:00,0.4078815224302468,tp,372.8852393790534,7
HBAR,2025-12-07 14:00:00+00:00,0.12833,-1.0,0.12434075140932606,0.1294691312160883,5188.341954742518,3.0,0.9605087637901306,3.502,True,2025-12-12 18:00:00+00:00,2025-12-07 15:00:00+00:00,0.1294691312160883,sl,-52.79956503043357,7
DOT,2025-12-09 15:00:00+00:00,2.218,-1.0,2.1469451796656207,2.238289726763496,5138.842362526488,3.0,0.9848334193229675,3.502,True,2025-12-14 19:00:00+00:00,2025-12-09 16:00:00+00:00,2.238289726763496,sl,-53.68938029055449,7
HBAR,2025-12-09 16:00:00+00:00,0.14234,-1.0,0.13811585944127852,0.14354620469299242,5088.508568504092,3.0,0.9961795806884766,3.502,True,2025-12-14 20:00:00+00:00,2025-12-09 21:00:00+00:00,0.13811585944127852,tp,145.92017084430947,7
ICP,2025-12-09 23:00:00+00:00,3.744,-1.0,3.478087782571386,3.819931319076062,2090.123491468253,2.0,0.9050367474555969,3.502,False,2025-12-15 03:00:00+00:00,2025-12-10 11:00:00+00:00,3.478087782571386,tp,146.357892618564,7
ADA,2025-12-09 12:00:00+00:00,0.4672,-1.0,0.43028281235519583,0.4777417147867642,5138.842362526488,3.0,0.9864852428436279,3.502,True,2025-12-14 16:00:00+00:00,2025-12-11 00:00:00+00:00,0.43028281235519583,tp,400.92196194924395,7
FIL,2025-12-11 00:00:00+00:00,1.431,1.0,1.500684617187435,1.4111015351851113,5738.383592327953,3.0,0.9540995955467224,3.502,True,2025-12-16 04:00:00+00:00,2025-12-11 01:00:00+00:00,1.4111015351851113,sl,-87.25376590012614,7
